Semi     2;1.33333333;       4;    3;e=3
Semi     3;1.80000000;       9;    5;e=4
Semi     4;2.28571429;      16;    7;e=6
Semi     5;2.45454545;      27;   11;e=7
Semi     6;2.69230769;      35;   13;e=8
Semi     7;2.88235294;      49;   17;e=9
Semi     8;3.31578947;      63;   19;e=10
Semi     9;2.82608696;      65;   23;e=14
Semi    10;2.93103448;      85;   29;e=14
Semi    11;3.06451613;      95;   31;e=17
Semi    12;2.83783784;     105;   37;e=19
Semi    13;2.95121951;     121;   41;e=18
Semi    14;3.13953488;     135;   43;e=19
Semi    15;3.08510638;     145;   47;e=24
Semi    16;3.18867925;     169;   53;e=23
Semi    17;2.96610169;     175;   59;e=24
Semi    18;3.06557377;     187;   61;e=27
Semi    19;3.02985075;     203;   67;e=28
Semi    20;2.94366197;     209;   71;e=28
Semi    21;3.02739726;     221;   73;e=30
Semi    22;3.20253165;     253;   79;e=31
Semi    23;3.19277108;     265;   83;e=34
Semi    24;3.06741573;     273;   89;e=36
Semi    25;2.97938144;     289;   97;e=38
Semi    26;2.98019802;     301;  101;e=37
Semi    27;2.96116505;     305;  103;e=38
Semi    28;2.98130841;     319;  107;e=40
Semi    29;3.22018349;     351;  109;e=40
Semi    30;3.26548673;     369;  113;e=43
Semi    31;3.04724409;     387;  127;e=46
Semi    32;3.07633588;     403;  131;e=47
Semi    33;2.97080292;     407;  137;e=50
Semi    34;3.05755396;     425;  139;e=52
Semi    35;2.98657718;     445;  149;e=52
Semi    36;3.13245033;     473;  151;e=57
Semi    37;3.08917197;     485;  157;e=56
Semi    38;3.03680982;     495;  163;e=57
Semi    39;3.09580838;     517;  167;e=60
Semi    40;3.05780347;     529;  173;e=60
Semi    41;3.04469274;     545;  179;e=60
Semi    42;3.04419890;     551;  181;e=61
Semi    43;2.96858639;     567;  191;e=63
Semi    44;3.16580311;     611;  193;e=64
Semi    45;3.12182741;     615;  197;e=66
Semi    46;3.19095477;     635;  199;e=71
Semi    47;3.02843602;     639;  211;e=74
Semi    48;3.00896861;     671;  223;e=74
Semi    49;2.99118943;     679;  227;e=75
Semi    50;3.02620087;     693;  229;e=75
Semi    51;3.01716738;     703;  233;e=78
Semi    52;3.03347280;     725;  239;e=77
Semi    53;3.09958506;     747;  241;e=78
Semi    54;3.11155378;     781;  251;e=84
Semi    55;3.08560311;     793;  257;e=84
Semi    56;3.03802281;     799;  263;e=83
Semi    57;2.99256506;     805;  269;e=83
Semi    58;3.01476015;     817;  271;e=86
Semi    59;3.00722022;     833;  277;e=87
Semi    60;3.07829181;     865;  281;e=89
Semi    61;3.16254417;     895;  283;e=90
Semi    62;3.10238908;     909;  293;e=93
Semi    63;3.00651466;     923;  307;e=95
Semi    64;3.05144695;     949;  311;e=95
Semi    65;3.09584665;     969;  313;e=97
Semi    66;3.11987382;     989;  317;e=99
Semi    67;3.04229607;    1007;  331;e=104
Semi    68;3.05341246;    1029;  337;e=104
Semi    69;2.98847262;    1037;  347;e=107
Semi    70;3.01719198;    1053;  349;e=108
Semi    71;3.06798867;    1083;  353;e=110
Semi    72;3.05013928;    1095;  359;e=111
Semi    73;3.07084469;    1127;  367;e=114
Semi    74;3.03753351;    1133;  373;e=115
Semi    75;3.01583113;    1143;  379;e=116
Semi    76;3.04177546;    1165;  383;e=117
Semi    77;3.05655527;    1189;  389;e=120
Semi    78;3.04534005;    1209;  397;e=120
Semi    79;3.05486284;    1225;  401;e=121
Semi    80;3.09290954;    1265;  409;e=123
Semi    81;3.02386635;    1267;  419;e=124
Semi    82;3.01900238;    1271;  421;e=127
Semi    83;2.98607889;    1287;  431;e=128
Semi    84;3.03233256;    1313;  433;e=131
Semi    85;3.03644647;    1333;  439;e=131
Semi    86;3.04966140;    1351;  443;e=132
Semi    87;3.02227171;    1357;  449;e=131
Semi    88;2.99562363;    1369;  457;e=133
Semi    89;2.99132321;    1379;  461;e=134
Semi    90;3.09071274;    1431;  463;e=135
Semi    91;3.07280514;    1435;  467;e=141
Semi    92;3.05427975;    1463;  479;e=141
Semi    93;3.03696099;    1479;  487;e=141
Semi    94;3.04480652;    1495;  491;e=142
Semi    95;3.12024048;    1557;  499;e=145
Semi    96;3.10337972;    1561;  503;e=148
Semi    97;3.06679764;    1561;  509;e=148
Semi    98;3.06142035;    1595;  521;e=152
Semi    99;3.11854685;    1631;  523;e=157
Semi   100;3.04805915;    1649;  541;e=160
